TiSId;Índice;Ticker;Data;Cotação
58;Bloomberg GC;H24641US Index;27/11/2024;510,2599
58;Bloomberg GC;H24641US Index;26/11/2024;508,5163
58;Bloomberg GC;H24641US Index;25/11/2024;509,9343
58;Bloomberg GC;H24641US Index;22/11/2024;507,5268
58;Bloomberg GC;H24641US Index;21/11/2024;504,5872
58;Bloomberg GC;H24641US Index;20/11/2024;503,6655
58;Bloomberg GC;H24641US Index;19/11/2024;501,8014
58;Bloomberg GC;H24641US Index;18/11/2024;499,1379
58;Bloomberg GC;H24641US Index;15/11/2024;497,3812
58;Bloomberg GC;H24641US Index;14/11/2024;497,8544
58;Bloomberg GC;H24641US Index;13/11/2024;500,3465
58;Bloomberg GC;H24641US Index;12/11/2024;500,8568
58;Bloomberg GC;H24641US Index;11/11/2024;503,2417
58;Bloomberg GC;H24641US Index;08/11/2024;499,5518
58;Bloomberg GC;H24641US Index;07/11/2024;497,8401
58;Bloomberg GC;H24641US Index;06/11/2024;495,7336
58;Bloomberg GC;H24641US Index;05/11/2024;492,5605
58;Bloomberg GC;H24641US Index;04/11/2024;489,5699
58;Bloomberg GC;H24641US Index;01/11/2024;488,7783
58;Bloomberg GC;H24641US Index;31/10/2024;488,4263
58;Bloomberg GC;H24641US Index;30/10/2024;491,1514
58;Bloomberg GC;H24641US Index;29/10/2024;492,3268
58;Bloomberg GC;H24641US Index;28/10/2024;492,6018
58;Bloomberg GC;H24641US Index;25/10/2024;490,513
58;Bloomberg GC;H24641US Index;24/10/2024;490,5617
58;Bloomberg GC;H24641US Index;23/10/2024;489,4588
58;Bloomberg GC;H24641US Index;22/10/2024;490,8974
58;Bloomberg GC;H24641US Index;21/10/2024;491,3424
58;Bloomberg GC;H24641US Index;18/10/2024;492,4786
58;Bloomberg GC;H24641US Index;17/10/2024;490,8755
58;Bloomberg GC;H24641US Index;16/10/2024;491,5211
58;Bloomberg GC;H24641US Index;15/10/2024;490,3176
58;Bloomberg GC;H24641US Index;14/10/2024;491,5241
58;Bloomberg GC;H24641US Index;11/10/2024;490,8229
58;Bloomberg GC;H24641US Index;10/10/2024;487,7471
58;Bloomberg GC;H24641US Index;09/10/2024;487,369
58;Bloomberg GC;H24641US Index;08/10/2024;486,7476
58;Bloomberg GC;H24641US Index;07/10/2024;488,4419
58;Bloomberg GC;H24641US Index;04/10/2024;489,0225
58;Bloomberg GC;H24641US Index;03/10/2024;485,9701
58;Bloomberg GC;H24641US Index;02/10/2024;487,0241
58;Bloomberg GC;H24641US Index;01/10/2024;485,4747
58;Bloomberg GC;H24641US Index;30/09/2024;486,4993
58;Bloomberg GC;H24641US Index;27/09/2024;486,1577
58;Bloomberg GC;H24641US Index;26/09/2024;483,7523
58;Bloomberg GC;H24641US Index;25/09/2024;480,3819
58;Bloomberg GC;H24641US Index;24/09/2024;481,5481
58;Bloomberg GC;H24641US Index;23/09/2024;479,939
58;Bloomberg GC;H24641US Index;20/09/2024;479,2886
58;Bloomberg GC;H24641US Index;19/09/2024;479,223
58;Bloomberg GC;H24641US Index;18/09/2024;475,8503
58;Bloomberg GC;H24641US Index;17/09/2024;476,0179
58;Bloomberg GC;H24641US Index;16/09/2024;474,9314
58;Bloomberg GC;H24641US Index;13/09/2024;473,7757
58;Bloomberg GC;H24641US Index;12/09/2024;470,9345
58;Bloomberg GC;H24641US Index;11/09/2024;469,034
58;Bloomberg GC;H24641US Index;10/09/2024;467,224
58;Bloomberg GC;H24641US Index;09/09/2024;466,9194
58;Bloomberg GC;H24641US Index;06/09/2024;465,81
