Data;Valor;Índice
14/11/2024;4048,92;M0CN1A Index                                                    
11/11/2024;4121,32;M0CN1A Index                                                    
08/11/2024;4100,82;M0CN1A Index                                                    
07/11/2024;4138,10;M0CN1A Index                                                    
06/11/2024;4025,62;M0CN1A Index                                                    
05/11/2024;4070,18;M0CN1A Index                                                    
04/11/2024;3970,95;M0CN1A Index                                                    
01/11/2024;3895,23;M0CN1A Index                                                    
31/10/2024;3910,38;M0CN1A Index                                                    
30/10/2024;3895,94;M0CN1A Index                                                    
29/10/2024;3907,08;M0CN1A Index                                                    
28/10/2024;3950,58;M0CN1A Index                                                    
25/10/2024;3938,67;M0CN1A Index                                                    
24/10/2024;3910,43;M0CN1A Index                                                    
23/10/2024;3944,16;M0CN1A Index                                                    
22/10/2024;3933,28;M0CN1A Index                                                    
21/10/2024;3912,80;M0CN1A Index                                                    
18/10/2024;3897,21;M0CN1A Index                                                    
17/10/2024;3743,93;M0CN1A Index                                                    
16/10/2024;3786,76;M0CN1A Index                                                    
15/10/2024;3810,36;M0CN1A Index                                                    
14/10/2024;3932,31;M0CN1A Index                                                    
11/10/2024;3860,30;M0CN1A Index                                                    
10/10/2024;3970,89;M0CN1A Index                                                    
09/10/2024;3953,27;M0CN1A Index                                                    
08/10/2024;4256,80;M0CN1A Index                                                    
07/10/2024;4026,33;M0CN1A Index                                                    
04/10/2024;4026,33;M0CN1A Index                                                    
03/10/2024;4026,33;M0CN1A Index                                                    
02/10/2024;4026,33;M0CN1A Index                                                    
01/10/2024;4026,33;M0CN1A Index                                                    
30/09/2024;4026,33;M0CN1A Index                                                    
27/09/2024;3698,43;M0CN1A Index                                                    
26/09/2024;3528,89;M0CN1A Index                                                    
25/09/2024;3383,08;M0CN1A Index                                                    
24/09/2024;3329,62;M0CN1A Index                                                    
23/09/2024;3182,51;M0CN1A Index                                                    
20/09/2024;3176,15;M0CN1A Index                                                    
19/09/2024;3170,67;M0CN1A Index                                                    
18/09/2024;3133,93;M0CN1A Index                                                    
17/09/2024;3119,42;M0CN1A Index                                                    
16/09/2024;3119,42;M0CN1A Index                                                    
13/09/2024;3119,42;M0CN1A Index                                                    
12/09/2024;3121,70;M0CN1A Index                                                    
11/09/2024;3140,43;M0CN1A Index                                                    
10/09/2024;3140,01;M0CN1A Index                                                    
09/09/2024;3141,35;M0CN1A Index                                                    
06/09/2024;3188,35;M0CN1A Index                                                    
05/09/2024;3212,37;M0CN1A Index                                                    
04/09/2024;3199,81;M0CN1A Index                                                    
03/09/2024;3217,89;M0CN1A Index                                                    
